review,insight,insight_encoded,predicted_insights,decoded_insight,decoded_predicted_insights
It was easy to do easy to book however book a few days in advance saves last minute problems,['ease of booking positive'],3,"(3,)",['ease of booking positive'],['ease of booking positive']
"Excellent service. Ordered and paid for tyres for my daughters car, fitted locally to her work by ATS with minimal disruption . Delighted","['garage service positive', 'location positive']","5, 7","(7,)","['garage service positive', 'location positive']",['location positive']
Good prices and choice of where to get fitted. Very good service from ATS fitters. Simple search and order process.,"['value for money positive', 'garage service positive']","9, 5","(5, 9)","['value for money positive', 'garage service positive']","['garage service positive', 'value for money positive']"
"Correct service,fair prices!",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Great choice of tyres in all price ranges. Apparently carefully chosen fitting partners that deliver a excellent service. And the ordering process couldn't be easier. If you need assistance it's right there.,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
I felt let down by the service provided by [REDACTED],['garage service positive'],5,"(4,)",['garage service positive'],['garage service negative']
"Not a very good serviceOrdered 2 tyres to be fitted at my local garage on the 3rd Aug, then got email to say the soonest they could be fitted was the 6th Aug. When I spoke to the garage they told me it was because [REDACTED] had sent 2 different size tyres! I has taken them until the 9th August to deliver the correct tyres and the garage have called me to let me know. Not good customer service at all. Just as well I wasn't in a hurry for the tyres!!",['change of date negative'],0,"(1,)",['change of date negative'],['delivery punctuality negative']
"Excellent service, fantastic fitter!",['garage service positive'],5,"(5,)",['garage service positive'],['garage service positive']
Good price and excellent service at local garage.,"['value for money positive', 'garage service positive', 'location positive']","9, 5, 7","(5, 7, 9)","['value for money positive', 'garage service positive', 'location positive']","['garage service positive', 'location positive', 'value for money positive']"
"Easy to book, even if you have to search for the tyre by size, and a reasonable range of places that fit the tyres",['ease of booking positive'],3,"(3,)",['ease of booking positive'],['ease of booking positive']
"“Does what it days on the tin” Easy to use website, great price & service",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"Easy to order, fitted quickly at local garage. Very impressed","['location positive', 'length of fitting positive']","7, 6","(6, 7)","['location positive', 'length of fitting positive']","['length of fitting positive', 'location positive']"
"Great Service. So easy, great prices, great service, great communication",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
The variety of tyre brands is good as are the prices. The fitting partner was very efficient and the availability of appointment slots was good. Good experience all-round.,"['value for money positive', 'ease of booking positive', 'length of fitting positive']","9, 3, 6","(3, 6, 9)","['value for money positive', 'ease of booking positive', 'length of fitting positive']","['ease of booking positive', 'length of fitting positive', 'value for money positive']"
"My 2 tyres saved me about £100, and that is amazing.Even the tyre fitters said they could not buy the same tyres for what I paid for them.",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Best price. No hastle fitting service.,"['value for money positive', 'garage service positive']","9, 5","(5, 9)","['value for money positive', 'garage service positive']","['garage service positive', 'value for money positive']"
"Shocking service. I ordered four tyres on 25 June to be fitted on 4 July. On the evening of 3 July I had a phone call telling me the tyres hadn't been delivered to the garage. On 4 July I had several emails from different Customer Service staff telling me differing things - I was re-booked for Sat 6 July, I was re-booked for Mon 8 July... in the end I had to call but the person I spoke to still didn't really know what was going on. I demanded my tyres be fitted on 6 July. Thankfully they were. I had arranged my work around d the fitting on 4 July and had to instead use part of my weekend instead. I won't be using [REDACTED] again.","['change of date negative', 'delivery punctuality negative']","0, 1","(0, 1)","['change of date negative', 'delivery punctuality negative']","['change of date negative', 'delivery punctuality negative']"
"Excellent service, good price, convenient location. Not 5 stars as an independent was a couple of pounds per tyre cheaper - but the location was not as convenient.","['value for money negative', 'location positive', 'value for money positive']","8, 7, 9","(7, 9)","['value for money negative', 'location positive', 'value for money positive']","['location positive', 'value for money positive']"
Useful service. Saves phoning round for the tyre you want. I just took the wheel to the garage and 10 mins later it was all done.,['length of fitting positive'],6,"(6, 9)",['length of fitting positive'],"['length of fitting positive', 'value for money positive']"
"Easy ordering, keen prices. I just need a fitting service a little nearer to home.",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"Job Done. Great service, quality and price. Wish fitting garage was a bit closer.","['location positive', 'value for money positive']","7, 9","(7, 9)","['location positive', 'value for money positive']","['location positive', 'value for money positive']"
Found a good choice of tyre delivered and fitted at my local garageNo problems2nd time using [REDACTED],['location positive'],7,"(7,)",['location positive'],['location positive']
Well done Mr Tyre. Very easy process to shop for all inclusive price for supply and fitting at a location and time to suit yourself. Friendly staff quickly complete the job and your on your way.,"['value for money positive', 'garage service positive', 'length of fitting positive']","9, 5, 6","(5, 6, 9)","['value for money positive', 'garage service positive', 'length of fitting positive']","['garage service positive', 'length of fitting positive', 'value for money positive']"
So easy to order free fitting at a local garage and didn't have to wait as I work shifts I left my car with them an picked it up before they closed. Will definitely never go back to any other tyre place than [REDACTED].com,"['location positive', 'garage service positive']","7, 5","(7,)","['location positive', 'garage service positive']",['location positive']
"Straight Forward. Did a search on the net for the best price for 195 tyres. [REDACTED] came up. Ordered, Payed, got a date at a garage a couple of miles away from where I live. Turned up, waited about 30 mins, got car back, went home. Absolute doddle.Next time if [REDACTED] comes up competitive I will use them again.","['location positive', 'length of fitting positive', 'value for money positive']","7, 6, 9","(6, 7, 9)","['location positive', 'length of fitting positive', 'value for money positive']","['length of fitting positive', 'location positive', 'value for money positive']"
No hassle choice your time garage turn up,['ease of booking positive'],3,"(3,)",['ease of booking positive'],['ease of booking positive']
"All very simple, delivery and fitting went smoothly and all to plan.",['length of fitting positive'],6,"(6,)",['length of fitting positive'],['length of fitting positive']
Brilliant service great price,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
good prices and quick work at garage,"['length of fitting positive', 'value for money positive']","6, 9","(6, 9)","['length of fitting positive', 'value for money positive']","['length of fitting positive', 'value for money positive']"
I have used [REDACTED].com a number of times and have always found them to best the prices on the internet. They are very convenient to use as they have numerous fitting shops around the country.,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Good selection of tyre fitting times. Clear instructions/information. Punctual and fast fitting with no issues.,['length of fitting positive'],6,"(6,)",['length of fitting positive'],['length of fitting positive']
Great price and easy to use. [REDACTED] made buying tyres easy and it was great to have a choice of local garages to fit them.,"['location positive', 'value for money positive']","7, 9","(7, 9)","['location positive', 'value for money positive']","['location positive', 'value for money positive']"
"Very good value tyres, you can also choose and book a local fitter. Very good service","['value for money positive', 'location positive', 'ease of booking positive']","9, 7, 3","(3, 7, 9)","['value for money positive', 'location positive', 'ease of booking positive']","['ease of booking positive', 'location positive', 'value for money positive']"
"Easy Access, Plenty Parking. Nice clean premises and very knowledgeable staff. good price.","['value for money positive', 'garage service positive']","9, 5","(5, 9)","['value for money positive', 'garage service positive']","['garage service positive', 'value for money positive']"
"Website was easy to navigate and use, and I saved £10 per tyre by shopping with you",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
a very quick no nonsense affordable service that's easy to use and customer orientated very impressed,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"Eastcote, Cheap , great service",['value for money positive'],9,"(5, 9)",['value for money positive'],"['garage service positive', 'value for money positive']"
"It was trouble free ordering process, fitting at time & place suitable to me. Hassle free",['ease of booking positive'],3,"(3,)",['ease of booking positive'],['ease of booking positive']
"I was very pleased with the ease of use of the website, the service from [REDACTED] and the fitting of the tyres",['garage service positive'],5,"(5,)",['garage service positive'],['garage service positive']
"A great company to deal with. A good choice of premium and budget tyres, well priced and easy to order and arrange fitting.","['value for money positive', 'ease of booking positive']","9, 3","(3, 9)","['value for money positive', 'ease of booking positive']","['ease of booking positive', 'value for money positive']"
"Easy to find. Easy to to find the right tyres on the web site very user friendly, Excellent service from garage when tyres were being fitted",['garage service positive'],5,"(5,)",['garage service positive'],['garage service positive']
"Absolutely no problems encountered, all as it was supposed to be. Good price, garage itself is one I occasionally use anyway so know and trust.","['value for money positive', 'garage service positive']","9, 5","(5, 9)","['value for money positive', 'garage service positive']","['garage service positive', 'value for money positive']"
"Excellent service, had a question on tyre codes which was swiftly dealt with via contact us section, before I ordered the tyres.Very good value for money, highly recommended 🤗",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"Great service, cheapest price and reliable trustworthy agent!",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"Seamless experience with mobile tyre fitter doing a great, quick job",['length of fitting positive'],6,"(6,)",['length of fitting positive'],['length of fitting positive']
"Good tyres at a good price. Turn up at the time and place , as requested by myself, (Singlewell service station) . Have a cup of tea whle I wait. Drive away fully satisfied. What could be better!? So easy which makes a nice change.","['value for money positive', 'garage service positive']","9, 5","(5, 9)","['value for money positive', 'garage service positive']","['garage service positive', 'value for money positive']"
"I have been using [REDACTED] for a number of years good prices and it is so easy, pick your tyres and garage pay and turn up on your selected date. I will continue to use [REDACTED] and would recommend them to anyone.","['value for money positive', 'ease of booking positive']","9, 3","(3, 9)","['value for money positive', 'ease of booking positive']","['ease of booking positive', 'value for money positive']"
top Job. Used before will use againGood price great service,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Easy to order. Agents close by,['location positive'],7,"(7,)",['location positive'],['location positive']
"Awful. Arranged a 9am appointment to fit the tyres and they didn't get fitted until 16:30pm. Wouldn't use again, terrible service. Save yourself the hassle and just ring and book direct with a garage.",['ease of booking negative'],2,"(2,)",['ease of booking negative'],['ease of booking negative']
Value for money,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Took. numerous phone calls chasing a change of time/date for appointment. Told on morning by staff that I was booked in and someone had just forgot to send confirmation but when I got to the garage I wasn’t booked in and had to return another time.,"['ease of booking negative', 'change of date negative']","2, 0","(0, 2)","['ease of booking negative', 'change of date negative']","['change of date negative', 'ease of booking negative']"
good efficient service at a competative price,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
How long the garage took to do the work,['garage service negative'],4,"(4,)",['garage service negative'],['garage service negative']
"Great Service and great garage - professional, friendly, and very efficient. I will certainly be using this service and garage again","['length of fitting positive', 'garage service positive']","6, 5","(5, 6)","['length of fitting positive', 'garage service positive']","['garage service positive', 'length of fitting positive']"
Excellent service gr8 prices,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
[REDACTED]. Excellent service throughout with good prices.,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"The garage didn't balance the tyres correctly, messed with my cars wheel alignment.Ended up having to get another garage to perform an emergency repair on my car and now have to take the car to BMW to get the wheel alignment corrected.The tyres still need balanced but will be taken the garage to court for damages and losses.",['garage service negative'],4,"(4,)",['garage service negative'],['garage service negative']
Excellent service and prices. Straightforward purchase and fitting.,"['garage service positive', 'value for money positive']","5, 9","(9,)","['garage service positive', 'value for money positive']",['value for money positive']
"Very simple to use website and excellent service from the approved garage, West Malling Garage in Kent.",['garage service positive'],5,"(5,)",['garage service positive'],['garage service positive']
Very nice chaps fitted my tyre even though I was an hour late,['garage service positive'],5,"(5,)",['garage service positive'],['garage service positive']
Cheaper than the rest and everything went smoothly 👍,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"Youll struggle to find better choice quality prices and service. This is an excellent way to replace your worn out tyres. The procedure is efficient, organised and well-priced. I'm a pensioner and I've been driving for years, [REDACTED] is one of the best and most efficient companies I have encountered for price, quality and service",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Black n Rounds in Silverstone are excellent.,['garage service positive'],5,"(5,)",['garage service positive'],['garage service positive']
Good pricing and great efficiency of the garage in Cramlington fitting the tyres. In and out in 25 mins for two tyres on alloys.,"['garage service positive', 'length of fitting positive', 'value for money positive']","5, 6, 9","(5, 6, 9)","['garage service positive', 'length of fitting positive', 'value for money positive']","['garage service positive', 'length of fitting positive', 'value for money positive']"
Quick easy purchase and appointment made with local tyre depot. On the day received excellent service and the tyres were excellent value for money.,"['value for money positive', 'location positive']","9, 7","(7, 9)","['value for money positive', 'location positive']","['location positive', 'value for money positive']"
Absolute Tops! Highly recommended. Had mobile fitter out to who was extremely helpful and efficient. Worked perfectly as tyres were fitted whilst at work.,['length of fitting positive'],6,"(6,)",['length of fitting positive'],['length of fitting positive']
Very happy with service and value. Missed one star off as booked for a Tuesday initially but next day was informed garage couldn't do fitting till Thursday. Was not an issue and [REDACTED] is working hard to make such issues a thing of the past. But for a fair review I thought I must deduct the one star for this inconvenience as for some people could cause an issue.,"['change of date negative', 'value for money positive']","0, 9","(9,)","['change of date negative', 'value for money positive']",['value for money positive']
"2nd time I've used [REDACTED], and the website is fine, but the fitters have not been great. This time they arrived late and had to reschedule, last time they did not put the alloy protectors on properly and let me drive away with a very low pressure tyre.",['garage service negative'],4,"(4,)",['garage service negative'],['garage service negative']
"Surprisingly Poor Service. I've used [REDACTED] many times in the past and have been really pleased with the value for money and customer service. It therefore came as a shock to experience really poor service on this occassion.Everything seemed fine at first, my order went though and I was looking forward to having two reasonably priced tyres fitted at a convenient time on a Saturday morning. Later that day I received an email to say the garage could not fit my tyres on the Saturday, that was slightly annoying but OK, I replied to the email to say their suggested fitting day of the following Tuesday would be fine.The next day I receive an email saying they can't deliver my tyres to the garage for the following Tuesday, bearing in mind that it's only Friday at this point and if so why was it even suggested to me as a possible fitting date. Their new suggested day wasn't convenient and I was beginning to feel messed around so I replied saying it was becoming slightly ridiculous now and that I'd have to make alternative arrangements so please cancel the order. Three days later and I still had not received a response or order cancellation from them. I sent an email suggesting rather sternly that they get their act together and cancel/refund my order. It was another day, nearly a wek after the initial order that it was finally cancelled. There was no apology, no explanation, nothing in their email.I really am confused as to why [REDACTED] would think I should use them again or reccommend them to friends or family. Having happily used them before, this is most certainly not the [REDACTED] that I remember.","['ease of booking negative', 'delivery punctuality negative', 'change of date negative']","2, 1, 0","(0, 2)","['ease of booking negative', 'delivery punctuality negative', 'change of date negative']","['change of date negative', 'ease of booking negative']"
"Ordered tyres and booked slot two days later. Then told slot unavailable, so BC rebooked me for 9am Friday. I arrive at the garage, wait 20 minutes, to be told BC have not delivered the tyres. I contact BC who then rebook me for the following Wednesday “am”, which I take to also be 9am as per both other bookings. I arrive at garage to be told appointment is at 10am and get the full story about how busy they are and how I now need to wait an hour when I have guests at home. Not worth the fiver saving over booking directly with a garage, three bookings and double the mileage.","['change of date negative', 'ease of booking negative', 'value for money negative']","0, 2, 8","(0,)","['change of date negative', 'ease of booking negative', 'value for money negative']",['change of date negative']
"Full marks to the mobile fitter. Terrible communication for delivery, over week late from date they said they were getting fitted, even on the morning due date [REDACTED] last emailed. If it wasn’t for the mobile fitter communication would of not known. Whole day wasted.","['delivery punctuality negative', 'change of date negative']","1, 0","(0, 1)","['delivery punctuality negative', 'change of date negative']","['change of date negative', 'delivery punctuality negative']"
Had got 2 new back tyres all went well they fitting company were great and i managed to get [REDACTED] to come forward with the fitting date which helped me out which i appreciate they did this,['garage service positive'],5,"(5,)",['garage service positive'],['garage service positive']
Satisfied customer. Best price for the tyres I wanted an excellent service at fitting station.,"['value for money positive', 'garage service positive']","9, 5","(5, 9)","['value for money positive', 'garage service positive']","['garage service positive', 'value for money positive']"
Great service. Great quick easy service and the cheapest around,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Great price. Easy to navigate. Good local fitter,"['value for money positive', 'location positive', 'garage service positive']","9, 7, 5","(7, 9)","['value for money positive', 'location positive', 'garage service positive']","['location positive', 'value for money positive']"
Fair price. Easy to order. Kept well informed. Fitting arranged locally.,"['value for money positive', 'location positive']","9, 7","(3, 9)","['value for money positive', 'location positive']","['ease of booking positive', 'value for money positive']"
"Easy web site to use. Decent prices, garage used locally excellent (ATS). Highly recommend.","['value for money positive', 'location positive', 'garage service positive']","9, 7, 5","(5, 7, 9)","['value for money positive', 'location positive', 'garage service positive']","['garage service positive', 'location positive', 'value for money positive']"
Helpful professional good value,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Easy and Very Efficient Process from start to tyre booking at fitting 👍,['ease of booking positive'],3,"(3,)",['ease of booking positive'],['ease of booking positive']
Website is easy to use. I like that by keying in my cars registration the site tells me what tyres I need and the different prices and quality I can choose,['value for money positive'],9,"(3, 9)",['value for money positive'],"['ease of booking positive', 'value for money positive']"
"Website is easy to use, prices are competitive with other sites and plenty of garages to choose from",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
The whole experience was both very easy and 100% efficient.I would highly recommend [REDACTED] and would have no hesitation in using them again.,['garage service positive'],5,(),['garage service positive'],[]
Easy and good value. Easy to arrange and choose appropriate and best value tyres. Tyres delivered to valued garage on time and fitting at garage excellent.,"['ease of booking positive', 'value for money positive', 'garage service positive']","3, 9, 5","(3, 5, 9)","['ease of booking positive', 'value for money positive', 'garage service positive']","['ease of booking positive', 'garage service positive', 'value for money positive']"
I have used [REDACTED] several times. I have used [REDACTED] because they have a good selection of tyres at a fair price. Also they offer fitting near to home again from a selection of work shops.,"['location positive', 'value for money positive']","7, 9","(7, 9)","['location positive', 'value for money positive']","['location positive', 'value for money positive']"
"The tyres were much cheaper than my local supplier, and the fitting centre I picked were good at their job, no hassles. I'll use them again in a few months for winter tyres.","['value for money positive', 'location positive', 'garage service positive']","9, 7, 5","(5, 9)","['value for money positive', 'location positive', 'garage service positive']","['garage service positive', 'value for money positive']"
"Super service, plenty of quality tyres to choose from for all budgets.",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"Choice, value, website easy to use and plenty of garages to choose from to fit tyres.","['ease of booking positive', 'value for money positive']","3, 9","(9,)","['ease of booking positive', 'value for money positive']",['value for money positive']
Good web site. Good service. Tyres fitted quickly.,['length of fitting positive'],6,"(6,)",['length of fitting positive'],['length of fitting positive']
[REDACTED] was recommended by a friend. Would definitely use [REDACTED] again as it was so easy to order my tyres on line delivered to my local garage then fitted without extra charge.,"['location positive', 'ease of booking positive']","7, 3","(3, 7)","['location positive', 'ease of booking positive']","['ease of booking positive', 'location positive']"
Good price and local fitting location,"['value for money positive', 'location positive']","9, 7","(7, 9)","['value for money positive', 'location positive']","['location positive', 'value for money positive']"
"Stress free and simple process. simple process. Chose my tyres, chose my garage, chose my time, turned up, all of my tyres were there ready and were fitted in less than an hour. Incredibly stress free experience and a great price too. Highly recommended.","['length of fitting positive', 'ease of booking positive', 'value for money positive']","6, 3, 9","(3, 6, 9)","['length of fitting positive', 'ease of booking positive', 'value for money positive']","['ease of booking positive', 'length of fitting positive', 'value for money positive']"
Superb service. Highly recommend. Offer on a great michelin tyre. Really easy to book online and pay all online which makes it hassle free and the garage is down the road. Convenient and impressive! Thanks,"['ease of booking positive', 'garage service positive']","3, 5","(3, 7, 9)","['ease of booking positive', 'garage service positive']","['ease of booking positive', 'location positive', 'value for money positive']"
"Customer service is second to none , excellent prices",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Apprehensive at first to use this 'unknown' supplier but worked out really well.[REDACTED] provide the chosen tyre to your chosen fitter usually at a cheaper price than your fitter can provide. They deliver to your chosen fitter and the fitter's profit is from charging [REDACTED] a fitting fee.My experience went really well and I saves significantly on two tyres for my wife's car.,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Worth the money. Very easy to use good communication,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Excellent communication throughout as there was a problem with delivering my tyre. Garage were fabulous too.,['garage service positive'],5,"(5,)",['garage service positive'],['garage service positive']
Best price. Great service to fit. In and out in 10 minutes,"['length of fitting positive', 'garage service positive', 'value for money positive']","6, 5, 9","(6, 9)","['length of fitting positive', 'garage service positive', 'value for money positive']","['length of fitting positive', 'value for money positive']"
Great price Great service Thanks,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Good Choice at reasonable prices,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"Quick, easy, great prices and at a time that suits.",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Looked online and found [REDACTED] has very competitive pricing so booked the fitting. It was nice to be able to choose the garage to get the job done and I picked the [REDACTED] Pitstop next to Tesco. They were ready and waiting when I turned up so I left them to it and went and done the weekly shop. Just as I was paying for my shopping I had a call to say all 4 tyres had been changed and the car was ready for collection. I found the whole experience very convenient and it couldn't have gone smoother.,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"Prompt and efficient service. Great choice of tyre options, priced very competitively. Effortless purchase and fitting.",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"Easy to order, good price and choice of fitting locations","['location positive', 'value for money positive']","7, 9","(7, 9)","['location positive', 'value for money positive']","['location positive', 'value for money positive']"
Best price and convenient. Cheapest priced yet still reasonable brand for truck tyres.Delivered to a conveniently located garage within 48 hours.,"['location positive', 'value for money positive']","7, 9","(6, 7, 9)","['location positive', 'value for money positive']","['length of fitting positive', 'location positive', 'value for money positive']"
Would certainly my use them again. Very easy to use from Start to finish. Very helpful telephone operator when I had to change tyre fitting slot as ats couldn’t do it the day I first picked.,['garage service positive'],5,"(5,)",['garage service positive'],['garage service positive']
One cannot guarantee the age of Tyre. we had from December 18 . The receptionist at Tyre center should not decide weather you are given the free wheel alignment check?,['garage service negative'],4,"(4,)",['garage service negative'],['garage service negative']
Very easy from start to finish,['ease of booking positive'],3,"(3,)",['ease of booking positive'],['ease of booking positive']
"Huge product range, great prices, very good service. What more do you want? And the fitting service from Direct Tyres in Stockport was brilliant. Will definitely use again. Ian Casson","['garage service positive', 'value for money positive']","5, 9","(5, 9)","['garage service positive', 'value for money positive']","['garage service positive', 'value for money positive']"
Fantastic service fantastic price and best of all local garage,"['garage service positive', 'location positive', 'value for money positive']","5, 7, 9","(5, 7, 9)","['garage service positive', 'location positive', 'value for money positive']","['garage service positive', 'location positive', 'value for money positive']"
"Very easy to deal with, tyres delivered to selected fitter next day. Overall very satisfied",['ease of booking positive'],3,"(3, 9)",['ease of booking positive'],"['ease of booking positive', 'value for money positive']"
"Good range of options, reasonable price, convenience.",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
I chose six because you didn’t manage to get the tyre to the garage on the day I first arranged had to book another time and date,"['delivery punctuality negative', 'change of date negative']","1, 0","(0, 2)","['delivery punctuality negative', 'change of date negative']","['change of date negative', 'ease of booking negative']"
"Couldn't find a cheaper price, also fitting centre very good.","['value for money positive', 'garage service positive']","9, 5","(5, 9)","['value for money positive', 'garage service positive']","['garage service positive', 'value for money positive']"
"Two weeks later and the tyres havent arrived! I showed up for a fitting, despite [REDACTED] knowing the tyres weren't there, they still let me show up. Not a phone call. Tried to arrange fitting at another location. They refused. Agreed to go out of my way to get them fitted at the origional fitter - was told no availabillity. Agreed to have them fitted myself, if they deliver to the billing address. Was lied to and told 3-5 days. One of the 4 original tyres is damaged and so its unsafe to continue driving, so i've rented a car for the 3-5 days. Despite knowing this. Communication is lacking. Tyres haven't arrived 2 weeks after ordering. Emails aren't being replied to. Terrible customer service. Havent been refunded yet on the installation costs which weren't provided. Can't get my head around how poor the buying experience has been. I'm very close to just calling into a local garage and getting a different set of tyres to what i wanted, and then doing a charge back because customer support don't seem to care about delivering the product or any support.","['ease of booking negative', 'change of date negative']","2, 0","(1,)","['ease of booking negative', 'change of date negative']",['delivery punctuality negative']
"Smooth, trouble-free transaction. Fitting garage provided an excellent service.",['garage service positive'],5,"(5,)",['garage service positive'],['garage service positive']
The service was simple to book and excellent Good value for money,"['value for money positive', 'ease of booking positive']","9, 3","(3, 9)","['value for money positive', 'ease of booking positive']","['ease of booking positive', 'value for money positive']"
excellent service and competitive prices.,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"Great experience. Low cost, good quality tyres. Excellent service.",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Great price. Great service.,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"Slight problem soon sorted out. Despite a slight problem with the delivery of the tyres , which was soon sorted out , the service was excellent , also very good service from Parkside garage at Thursford , would use again .",['garage service positive'],5,"(5,)",['garage service positive'],['garage service positive']
"First time I have used this tyre service and was impressed with the website, choice, value and the fitting service.Would certainly revisit next time........","['value for money positive', 'garage service positive']","9, 5","(5, 9)","['value for money positive', 'garage service positive']","['garage service positive', 'value for money positive']"
"Cheap, easy, and convenient!",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
I will never is ATS Swansea again dreadful service left my car wheel and tyre without cleaning it at all and general apathy to service more interested in bad language and talking to each other in their office,['garage service negative'],4,"(4,)",['garage service negative'],['garage service negative']
"Good price, efficient fitting.","['value for money positive', 'length of fitting positive']","9, 6","(6, 9)","['value for money positive', 'length of fitting positive']","['length of fitting positive', 'value for money positive']"
"Everything went according to plan. Tyre there, professional friendly staff, good price. What more can anyone want?","['value for money positive', 'garage service positive']","9, 5","(5, 9)","['value for money positive', 'garage service positive']","['garage service positive', 'value for money positive']"
"Highly recommended, easy to use, gast efficient and one stop shop. The garage they recommended was spot on, friendly fast and professional. Had my two front tyres changed in under 7 mins hassle free.","['length of fitting positive', 'garage service positive']","6, 5","(5, 6)","['length of fitting positive', 'garage service positive']","['garage service positive', 'length of fitting positive']"
Great and fast service. Good quality tyres at affordable prices,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"Service good and job was finished before I realised. Easy to book and TopCashback, too! Will use again next time, I hope.",['ease of booking positive'],3,"(3,)",['ease of booking positive'],['ease of booking positive']
"Great service, great prices - quick and efficient.",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Ease of arranging,['ease of booking positive'],3,"(3,)",['ease of booking positive'],['ease of booking positive']
I find the process of ordering my tyres very easy and the price is competitive.,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"I have used [REDACTED] for many years via my local garage and always had great service, I have just had cause while on holiday to use [REDACTED] 200 hundred miles from home,and service from them and their appointed garage Harris Brothers was again 5 star.","['garage service positive', 'location positive']","5, 7","(5, 7)","['garage service positive', 'location positive']","['garage service positive', 'location positive']"
"Van 8 perfect on both ocassions, fast and friendly service :)Definitely recommend !",['garage service positive'],5,"(5, 6)",['garage service positive'],"['garage service positive', 'length of fitting positive']"
Good price and easy to book. Will use again.,"['value for money positive', 'ease of booking positive']","9, 3","(3, 9)","['value for money positive', 'ease of booking positive']","['ease of booking positive', 'value for money positive']"
Excellent service no hesitation in recommending,['garage service positive'],5,"(5,)",['garage service positive'],['garage service positive']
"GOOD PRICES, EFFICIENT SERVICE,",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Good priceservice. Good price. Good service. Only issue was tyres inflated way above spec and each tyre different.,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"Great but. All great, except they can’t be more exact than am or pm for mobile fitting. Would have expected a text the day before giving a narrower window.",['ease of booking positive'],3,"(2,)",['ease of booking positive'],['ease of booking negative']
Super easy and the cheapest I could find,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Nice beat most prices,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Convenient ordering and booking. Ordering and booking couldn't be easier. So very convenient. The whole process was quick and simple. The staff at Cavendish Motors were very professional and completed the job in a timely manner. I have used [REDACTED] and Cavendish Motors before and wouldn't hesitate to do so again in the future.,"['garage service positive', 'ease of booking positive']","5, 3","(3, 5, 6)","['garage service positive', 'ease of booking positive']","['ease of booking positive', 'garage service positive', 'length of fitting positive']"
"Superb , great saving on list price , easy to pick the tyres of choice and a time and place convenient for the customer","['value for money positive', 'ease of booking positive']","9, 3","(3, 9)","['value for money positive', 'ease of booking positive']","['ease of booking positive', 'value for money positive']"
"Efficient and professional service. The order and fitting was like clockwork. Professional, efficient and a service we will definitely use again and recommend to friends.","['length of fitting positive', 'garage service positive']","6, 5","(5, 6)","['length of fitting positive', 'garage service positive']","['garage service positive', 'length of fitting positive']"
Great service with great prices,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
